name,value,year,lastValue,rank
05 Охрана окружающей среды,10098070.67,2002.0,9956333.3,1
"08 Отдых, культура и религия",20827748.560000002,2002.0,20160690.3,2
07 Здравоохранение,32403423.15999999,2002.0,31617644.49999999,3
02 Оборона,63961528.089999996,2002.0,39221350.0,4
09 Образование,81681863.39000002,2002.0,79800055.60000001,5
04 Экономические вопросы,84969924.04,2002.0,84077011.9,6
03 Общественный порядок и безопасность,97561562.11,2002.0,82374185.4,7
06 Жилищные и коммунальные услуги,100232787.97,2002.0,103396876.6,8
10 Социальная защита,410546307.24,2002.0,440193223.3,9
01 Государственные службы общего назначения,720578640.7299999,2002.0,669382605.3,10
05 Охрана окружающей среды,10239808.040000001,2002.1,10098070.67,11
"08 Отдых, культура и религия",21494806.82,2002.1,20827748.560000002,12
07 Здравоохранение,33189201.819999993,2002.1,32403423.15999999,13
09 Образование,83563671.18,2002.1,81681863.39000002,14
04 Экономические вопросы,85862836.18,2002.1,84969924.04,15
02 Оборона,88701706.17999999,2002.1,63961528.089999996,16
06 Жилищные и коммунальные услуги,97068699.33999999,2002.1,100232787.97,17
03 Общественный порядок и безопасность,112748938.82000001,2002.1,97561562.11,18
10 Социальная защита,380899391.18,2002.1,410546307.24,19
01 Государственные службы общего назначения,771774676.16,2002.1,720578640.7299999,20
05 Охрана окружающей среды,10381545.41,2002.2,10239808.040000001,21
"08 Отдых, культура и религия",22161865.08,2002.2,21494806.82,22
07 Здравоохранение,33974980.47999999,2002.2,33189201.819999993,23
09 Образование,85445478.97000001,2002.2,83563671.18,24
04 Экономические вопросы,86755748.32000001,2002.2,85862836.18,25
06 Жилищные и коммунальные услуги,93904610.71,2002.2,97068699.33999999,26
02 Оборона,113441884.26999998,2002.2,88701706.17999999,27
03 Общественный порядок и безопасность,127936315.53,2002.2,112748938.82000001,28
10 Социальная защита,351252475.12,2002.2,380899391.18,29
01 Государственные службы общего назначения,822970711.5899999,2002.2,771774676.16,30
05 Охрана окружающей среды,10523282.780000001,2002.3,10381545.41,31
"08 Отдых, культура и религия",22828923.34,2002.3,22161865.08,32
07 Здравоохранение,34760759.13999999,2002.3,33974980.47999999,33
09 Образование,87327286.76,2002.3,85445478.97000001,34
04 Экономические вопросы,87648660.46000001,2002.3,86755748.32000001,35
06 Жилищные и коммунальные услуги,90740522.08,2002.3,93904610.71,36
02 Оборона,138182062.35999998,2002.3,113441884.26999998,37
03 Общественный порядок и безопасность,143123692.24,2002.3,127936315.53,38
10 Социальная защита,321605559.06,2002.3,351252475.12,39
01 Государственные службы общего назначения,874166747.02,2002.3,822970711.5899999,40
05 Охрана окружающей среды,10665020.15,2002.4,10523282.780000001,41
"08 Отдых, культура и религия",23495981.6,2002.4,22828923.34,42
07 Здравоохранение,35546537.8,2002.4,34760759.13999999,43
06 Жилищные и коммунальные услуги,87576433.44999999,2002.4,90740522.08,44
04 Экономические вопросы,88541572.60000001,2002.4,87648660.46000001,45
09 Образование,89209094.55000001,2002.4,87327286.76,46
03 Общественный порядок и безопасность,158311068.95,2002.4,143123692.24,47
02 Оборона,162922240.45,2002.4,138182062.35999998,48
10 Социальная защита,291958643.0,2002.4,321605559.06,49
01 Государственные службы общего назначения,925362782.4499999,2002.4,874166747.02,50
05 Охрана окружающей среды,10806757.52,2002.5,10665020.15,51
"08 Отдых, культура и религия",24163039.86,2002.5,23495981.6,52
07 Здравоохранение,36332316.45999999,2002.5,35546537.8,53
06 Жилищные и коммунальные услуги,84412344.82,2002.5,87576433.44999999,54
04 Экономические вопросы,89434484.74000001,2002.5,88541572.60000001,55
09 Образование,91090902.34,2002.5,89209094.55000001,56
03 Общественный порядок и безопасность,173498445.66,2002.5,158311068.95,57
02 Оборона,187662418.53999996,2002.5,162922240.45,58
10 Социальная защита,262311726.94,2002.5,291958643.0,59
01 Государственные службы общего назначения,976558817.8799999,2002.5,925362782.4499999,60
